units

Pa         
mm     
mm     
kg/m3    
Pa        
mm      
mm         
mm        
mm     
kg/m3      
kg/m3        
kg/m3     
kg/m3   
kg/m3   
kg/m3   
mm   
oC  
oC  
N  
%  
oC-1  

Pa


m
m
mm
m
s
s
deg
m/s
deg
m
s
s
deg
m/s
deg
m
s
s
deg
m/s
deg























