units2
mm
mm
mm2
mm2
mm4
mm4

kg/m
kg/m
kg/m
kg/m
kg/m
kg/m
kg/m
kg/m
kg/m



kg/m
kg/m
Pa
Pa
mm2
mm2
mm2
oC
N









s


s
m/s
m/s
m

m



s


s
m/s
m/s
m

m




s


s
m/s
m/s
m

m
m/s
m/s


m/s
Hz
Hz
Hz
Hz



N


m

Hz

m

N


m/s
N/m
m

m

Hz

m
N-m
Pa
Pa
Pa
Pa

Pa

Pa
Pa


N
m













N-m
N/m2
Pa
N
Pa
Pa
Pa
Pa

m

m

N-m
Pa
Pa
Pa
Pa

Pa


Pa


Pa
N-m
Pa

m/s



Pa




rad/s
rad/s
rad/s
N
Hz
m


Kg/m2
kg/m


N-m
N/m2
Pa
Pa
Pa
Pa
Pa
Pa

m
Pa
m


m
m
m
m



m
